room,idx,original,translation,comments
0,1,"I don't understand ""%w1""","אני לא מבין ""%w1""",
0,2,Where do you think it could be?,איפה אתה חושב שזה יכול להיות?,
0,3,The bouquet of wildflowers is very pretty. The sweet scent is delightful.,זר פרחי הבר יפה מאוד. הריח המתוק מענג.,
0,4,The bouquet of flowers is very fragrant.,לזר הפרחים יש ריח נפלא.,
0,6,What do you wish to do with it???,מה אתה רוצה לעשות עם זה???,
0,7,There are many good things to eat in the basket of goodies.,יש הרבה דברים טעימים לאכול בסל המטעמים.,
0,8,"Yum, yum. The snacks from the goody basket are sure tasty.",יאמי יאמי! החטיפים מסל המטעמים ממש טעימים.,
0,9,The basket of goodies is empty because you ate all of it.,סל המטעמים ריק כי אכלת את הכל.,
0,10,You already have it.,כבר יש לך את זה.,
0,11,"This is a poisoned lake! Too bad, you die of extreme poisoning.","אוי זה אגם מורעל! חבל, אתה מת מהרעלה חמורה.",
0,12,You need to be closer to the water if you want to swim.,אתה צריך להתקרב למים אם אתה רוצה לשחות.,
0,13,You look around but see that there is no reason to use a mallet just now.,אתה מסתכל מסביב אבל אתה לא רואה סיבה להשתמש בפטיש עכשיו.,
0,14,The color of the brooch clashes with your outfit. Better leave it off.,הצבע של הסיכה לא הולך עם הלבוש שלך. עדיף לא לשים אותה.,
0,17,You feel a sudden tingling sensation. Could it be that the effects of the sugar cube have worn off?,אתה מרגיש עקצוץ פתאומי. יכול להיות שהשפעת קוביית הסוכר התפוגגה?,
0,18,"Ken, Roberta, Sol, Jeff, Chris, Doug, Mark, Al, Scott and Dale.","קן, רוברטה, סול, ג'ף, כריס, דאג, מארק, אל, סקוט ודייל.",
0,19,Cracker.,קרקר.,
0,20,"%v112,%v113    ","%v112,%v113    ",
0,21,"The rocks are the usual sort of rocks, nothing special.","אלו הסלעים רגילים, שום דבר מיוחד.",
0,22,The rocks are too large and heavy.,הסלעים גדולים וכבדים מדי.,
0,24,You are not carrying it.,אתה לא נושא את זה.,
0,25,There is no reason to drop it.,אין סיבה להשליך את זה.,
0,26,You are already swimming.,אתה כבר שוחה.,
0,27,"The water is very deep here. Without aid, it is impossible to swim under the water for any length of time.","המים כאן עמוקים מאוד. בלי עזרה, אי אפשר לשחות מתחת למים זמן רב.",
0,28,You need to be in the water to try that.,אתה צריך להיות במים כדי לנסות את זה.,
0,29,You have better things to do than to play all day.,יש לך דברים חשובים יותר לעשות מאשר לשחק כל היום.,
